Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Vegetables,13583,crops,10 Wheeler Dump Truck,14481
Meat,860,perishable goods,Medium Refrigerated Van,1787
Meat,2510,perishable goods,Small Refrigerated Truck,4402
Pigs,4554,livestock,Large Livestock Truck,6145
Meat,7437,perishable goods,Large Refrigerated Truck,8261
Cows,3523,livestock,Large Livestock Truck,3640
Frozen Fish,1408,perishable goods,Large Refrigerated Van,3190
Leafy Greens,4728,perishable goods,Medium Refrigerated Truck,6482
Leafy Greens,5429,perishable goods,Large Refrigerated Truck,5596
Goats,1180,livestock,Small Livestock Truck,1369
Meat,3242,perishable goods,Medium Refrigerated Truck,4859
Milk,5344,perishable goods,Large Refrigerated Truck,5759
Fruits,1907,crops,Large Pickup Truck,2556
Chickens,6341,livestock,Large Livestock Truck,7999
Fruits,6546,crops,Dropside Truck,8327
Chickens,6230,livestock,Large Livestock Truck,6493
Vegetables,5034,crops,Dropside Truck,6222
Eggs,882,perishable goods,Medium Refrigerated Van,1902
Cows,11671,livestock,10 wheeler Livestock Truck,13397
Cows,354,livestock,Small Livestock Truck,790
Fresh Vegetables,2167,perishable goods,Small Refrigerated Truck,2378
Milk,1323,perishable goods,Large Refrigerated Van,2601
Cows,9822,livestock,10 wheeler Livestock Truck,10430
Rice,259,crops,Tricycle,1972
Eggs,5311,perishable goods,Large Refrigerated Truck,6334
Meat,9166,perishable goods,10 wheeler Reefer Truck,10118
Fruits,1872,crops,Elf Truck,2978
Frozen Fish,11417,perishable goods,10 wheeler Reefer Truck,13081
Eggs,8335,perishable goods,Large Refrigerated Truck,8659
Corn,6238,crops,Dropside Truck,6896
Rice,12200,crops,10 Wheeler Dump Truck,14182
Corn,12883,crops,10 Wheeler Dump Truck,13858
Milk,510,perishable goods,Small Refrigerated Van,2077
Frozen Fish,10096,perishable goods,10 wheeler Reefer Truck,11218
Fruits,450,crops,Tricycle,2389
Frozen Fish,7245,perishable goods,Large Refrigerated Truck,8583
Goats,1289,livestock,Small Livestock Truck,1711
Goats,9556,livestock,10 wheeler Livestock Truck,11430
Eggs,9035,perishable goods,10 wheeler Reefer Truck,10488
Eggs,9643,perishable goods,10 wheeler Reefer Truck,11343
Eggs,8827,perishable goods,Large Refrigerated Truck,10790
Goats,2681,livestock,Medium Livestock Truck,4074
Rice,3045,crops,Large Pickup Truck,3236
Frozen Fish,10943,perishable goods,10 wheeler Reefer Truck,12706
Vegetables,937,crops,Small Multicab,2829
Leafy Greens,3056,perishable goods,Medium Refrigerated Truck,4125
Pigs,8200,livestock,10 wheeler Livestock Truck,10103
Fruits,13946,crops,10 Wheeler Dump Truck,14163
Cows,8904,livestock,10 wheeler Livestock Truck,9442
Vegetables,9945,crops,10 Wheeler Cargo Truck,10295
Vegetables,13258,crops,10 Wheeler Dump Truck,13531
Rice,14427,crops,10 Wheeler Dump Truck,15785
Chickens,4078,livestock,Large Livestock Truck,5262
Leafy Greens,4662,perishable goods,Medium Refrigerated Truck,6648
Meat,11783,perishable goods,10 wheeler Reefer Truck,12884
Frozen Fish,3733,perishable goods,Medium Refrigerated Truck,4445
Vegetables,14542,crops,10 Wheeler Dump Truck,14991
Fresh Vegetables,106,perishable goods,Small Refrigerated Van,854
Chickens,3411,livestock,Large Livestock Truck,5349
Fresh Vegetables,1633,perishable goods,Small Refrigerated Truck,2651
Fresh Vegetables,9552,perishable goods,10 wheeler Reefer Truck,9911
Chickens,2751,livestock,Medium Livestock Truck,3404
Meat,5054,perishable goods,Large Refrigerated Truck,5800
Fresh Vegetables,9655,perishable goods,10 wheeler Reefer Truck,11482
Milk,151,perishable goods,Small Refrigerated Van,965
Fresh Vegetables,3631,perishable goods,Medium Refrigerated Truck,4485
Corn,6260,crops,Dropside Truck,6703
Leafy Greens,2720,perishable goods,Small Refrigerated Truck,3398
Corn,7478,crops,Dropside Truck,7604
Eggs,2268,perishable goods,Small Refrigerated Truck,3326
Meat,2099,perishable goods,Small Refrigerated Truck,2606
Milk,4672,perishable goods,Medium Refrigerated Truck,5751
Frozen Fish,7753,perishable goods,Large Refrigerated Truck,8981
Leafy Greens,7069,perishable goods,Large Refrigerated Truck,7183
Frozen Fish,310,perishable goods,Small Refrigerated Van,585
Meat,10067,perishable goods,10 wheeler Reefer Truck,10783
Corn,728,crops,Small Pickup Truck,2277
Rice,2459,crops,Large Pickup Truck,3796
Fresh Vegetables,6027,perishable goods,Large Refrigerated Truck,7351
Fruits,7164,crops,Dropside Truck,7521
Pigs,9334,livestock,10 wheeler Livestock Truck,9549
Goats,6360,livestock,Large Livestock Truck,6764
Corn,14329,crops,10 Wheeler Dump Truck,14778
Pigs,5222,livestock,Large Livestock Truck,5547
Pigs,4322,livestock,Large Livestock Truck,4911
Fresh Vegetables,7573,perishable goods,Large Refrigerated Truck,7689
Eggs,9024,perishable goods,10 wheeler Reefer Truck,10121
Leafy Greens,4152,perishable goods,Medium Refrigerated Truck,4782
Fruits,6743,crops,Dropside Truck,7661
Vegetables,5464,crops,Dropside Truck,7197
Cows,5083,livestock,Large Livestock Truck,6716
Eggs,4832,perishable goods,Medium Refrigerated Truck,5139
Milk,2372,perishable goods,Small Refrigerated Truck,3666
Eggs,7805,perishable goods,Large Refrigerated Truck,9152
Frozen Fish,2957,perishable goods,Small Refrigerated Truck,3916
Meat,5201,perishable goods,Large Refrigerated Truck,5862
Chickens,10800,livestock,10 wheeler Livestock Truck,12138
Frozen Fish,4012,perishable goods,Medium Refrigerated Truck,5456
Fruits,10470,crops,10 Wheeler Cargo Truck,11487
Rice,11809,crops,10 Wheeler Cargo Truck,12427
Fresh Vegetables,1759,perishable goods,Small Refrigerated Truck,2928
Frozen Fish,945,perishable goods,Medium Refrigerated Van,2935
Milk,8640,perishable goods,Large Refrigerated Truck,9724
Meat,110,perishable goods,Small Refrigerated Van,840
Fresh Vegetables,1330,perishable goods,Large Refrigerated Van,1493
Cows,7071,livestock,10 wheeler Livestock Truck,7306
Eggs,2263,perishable goods,Small Refrigerated Truck,3352
Meat,9918,perishable goods,10 wheeler Reefer Truck,10907
Eggs,6379,perishable goods,Large Refrigerated Truck,7098
Pigs,5352,livestock,Large Livestock Truck,5923
Fresh Vegetables,5673,perishable goods,Large Refrigerated Truck,7260
Leafy Greens,11443,perishable goods,10 wheeler Reefer Truck,12876
Vegetables,10758,crops,10 Wheeler Cargo Truck,11045
Frozen Fish,10741,perishable goods,10 wheeler Reefer Truck,11588
Eggs,11477,perishable goods,10 wheeler Reefer Truck,11786
Leafy Greens,11009,perishable goods,10 wheeler Reefer Truck,11217
Meat,4793,perishable goods,Medium Refrigerated Truck,5988
Leafy Greens,1964,perishable goods,Small Refrigerated Truck,2514
Chickens,7016,livestock,10 wheeler Livestock Truck,8451
Frozen Fish,5711,perishable goods,Large Refrigerated Truck,6204
Pigs,7386,livestock,10 wheeler Livestock Truck,9282
Meat,4766,perishable goods,Medium Refrigerated Truck,5339
Milk,5319,perishable goods,Large Refrigerated Truck,5802
Fruits,13031,crops,10 Wheeler Dump Truck,13211
Cows,10841,livestock,10 wheeler Livestock Truck,11917
Corn,9454,crops,10 Wheeler Cargo Truck,10596
Fruits,1061,crops,Large Multicab,1178
Cows,7611,livestock,10 wheeler Livestock Truck,8954
Chickens,4144,livestock,Large Livestock Truck,5184
Rice,14226,crops,10 Wheeler Dump Truck,14403
Fruits,14953,crops,10 Wheeler Dump Truck,15766
Vegetables,10104,crops,10 Wheeler Cargo Truck,11247
Corn,10296,crops,10 Wheeler Cargo Truck,11501
Cows,8460,livestock,10 wheeler Livestock Truck,10353
Fruits,3091,crops,Elf Truck,4284
Milk,9823,perishable goods,10 wheeler Reefer Truck,10916
Meat,5861,perishable goods,Large Refrigerated Truck,6186
Vegetables,7420,crops,Dropside Truck,7952
Corn,598,crops,Small Delivery Van,1413
Fruits,9469,crops,10 Wheeler Cargo Truck,11223
Fresh Vegetables,666,perishable goods,Small Refrigerated Van,2303
Rice,14819,crops,10 Wheeler Dump Truck,14984
Cows,3455,livestock,Large Livestock Truck,4421
Leafy Greens,4026,perishable goods,Medium Refrigerated Truck,5574
Frozen Fish,6379,perishable goods,Large Refrigerated Truck,6992
Leafy Greens,7215,perishable goods,Large Refrigerated Truck,9126
Meat,957,perishable goods,Medium Refrigerated Van,2889
Fruits,12880,crops,10 Wheeler Dump Truck,13646
Chickens,268,livestock,Small Livestock Truck,700
Corn,8481,crops,Dropside Truck,9662
Fruits,1238,crops,Large Delivery Van,2626
Fruits,8385,crops,10 Wheeler Cargo Truck,8864
Meat,9151,perishable goods,10 wheeler Reefer Truck,9679
Fresh Vegetables,8794,perishable goods,Large Refrigerated Truck,9641
Cows,7087,livestock,10 wheeler Livestock Truck,8372
Pigs,2787,livestock,Medium Livestock Truck,4501
Corn,4691,crops,Dropside Truck,5628
Meat,3156,perishable goods,Medium Refrigerated Truck,4438
Eggs,1650,perishable goods,Small Refrigerated Truck,3193
Cows,8925,livestock,10 wheeler Livestock Truck,10703
Pigs,10359,livestock,10 wheeler Livestock Truck,12242
Fresh Vegetables,11944,perishable goods,10 wheeler Reefer Truck,12829
Frozen Fish,3809,perishable goods,Medium Refrigerated Truck,4729
Leafy Greens,143,perishable goods,Small Refrigerated Van,1925
Corn,2092,crops,Elf Truck,3687
Milk,10725,perishable goods,10 wheeler Reefer Truck,11035
Leafy Greens,7804,perishable goods,Large Refrigerated Truck,9221
Rice,9253,crops,10 Wheeler Cargo Truck,9827
Goats,8754,livestock,10 wheeler Livestock Truck,10248
Pigs,9407,livestock,10 wheeler Livestock Truck,9931
Corn,5017,crops,Dropside Truck,5189
Milk,8328,perishable goods,Large Refrigerated Truck,9411
Fruits,7393,crops,Dropside Truck,8373
Meat,10832,perishable goods,10 wheeler Reefer Truck,12412
Cows,7210,livestock,10 wheeler Livestock Truck,8161
Leafy Greens,2369,perishable goods,Small Refrigerated Truck,3492
Cows,11965,livestock,10 wheeler Livestock Truck,12686
Corn,10274,crops,10 Wheeler Cargo Truck,10833
Chickens,8204,livestock,10 wheeler Livestock Truck,9922
Pigs,6770,livestock,Large Livestock Truck,7493
Cows,2148,livestock,Medium Livestock Truck,3206
Eggs,2081,perishable goods,Small Refrigerated Truck,2446
Fruits,802,crops,Small Delivery Van,2404
Eggs,797,perishable goods,Small Refrigerated Van,2165
Pigs,3714,livestock,Large Livestock Truck,5019
Cows,2482,livestock,Medium Livestock Truck,3838
Corn,14064,crops,10 Wheeler Dump Truck,15898
Pigs,9670,livestock,10 wheeler Livestock Truck,10040
Eggs,8348,perishable goods,Large Refrigerated Truck,9629
Corn,12678,crops,10 Wheeler Dump Truck,13560
Leafy Greens,6319,perishable goods,Large Refrigerated Truck,8193
Leafy Greens,6269,perishable goods,Large Refrigerated Truck,6501
Chickens,4703,livestock,Large Livestock Truck,6346
Cows,9767,livestock,10 wheeler Livestock Truck,11745
Chickens,4647,livestock,Large Livestock Truck,6596
Pigs,7348,livestock,10 wheeler Livestock Truck,8159
Milk,6659,perishable goods,Large Refrigerated Truck,8089
Eggs,712,perishable goods,Small Refrigerated Van,2202
Cows,7399,livestock,10 wheeler Livestock Truck,7834
Meat,8641,perishable goods,Large Refrigerated Truck,10227
Eggs,11601,perishable goods,10 wheeler Reefer Truck,12311
Cows,7192,livestock,10 wheeler Livestock Truck,7656
Frozen Fish,6827,perishable goods,Large Refrigerated Truck,8753
Goats,412,livestock,Small Livestock Truck,2412
Leafy Greens,8873,perishable goods,Large Refrigerated Truck,9814
Eggs,6765,perishable goods,Large Refrigerated Truck,8177
Cows,6931,livestock,Large Livestock Truck,8342
Fresh Vegetables,3084,perishable goods,Medium Refrigerated Truck,4348
Goats,1253,livestock,Small Livestock Truck,2065
Frozen Fish,5626,perishable goods,Large Refrigerated Truck,7129
Fruits,9867,crops,10 Wheeler Cargo Truck,10779
Meat,2837,perishable goods,Small Refrigerated Truck,3556
Frozen Fish,10260,perishable goods,10 wheeler Reefer Truck,11642
Rice,7136,crops,Dropside Truck,7343
Goats,402,livestock,Small Livestock Truck,965
Corn,1600,crops,Elf Truck,2641
Pigs,11803,livestock,10 wheeler Livestock Truck,12685
Fruits,13622,crops,10 Wheeler Dump Truck,14281
Fresh Vegetables,4586,perishable goods,Medium Refrigerated Truck,5772
Fresh Vegetables,4698,perishable goods,Medium Refrigerated Truck,5826
Fresh Vegetables,8877,perishable goods,Large Refrigerated Truck,10094
Pigs,8683,livestock,10 wheeler Livestock Truck,10455
Vegetables,6073,crops,Dropside Truck,7292
Vegetables,14003,crops,10 Wheeler Dump Truck,14442
Corn,4625,crops,Dropside Truck,4979
Rice,13247,crops,10 Wheeler Dump Truck,14881
Chickens,850,livestock,Small Livestock Truck,1184
Rice,8793,crops,Dropside Truck,9320
Meat,4990,perishable goods,Medium Refrigerated Truck,5904
Chickens,9886,livestock,10 wheeler Livestock Truck,11703
Chickens,6021,livestock,Large Livestock Truck,6638
Frozen Fish,11842,perishable goods,10 wheeler Reefer Truck,13745
Chickens,3076,livestock,Large Livestock Truck,4986
Pigs,7220,livestock,10 wheeler Livestock Truck,8399
Meat,2684,perishable goods,Small Refrigerated Truck,2915
Frozen Fish,125,perishable goods,Small Refrigerated Van,1707
Goats,6016,livestock,Large Livestock Truck,7290
Eggs,8724,perishable goods,Large Refrigerated Truck,9267
Fresh Vegetables,10868,perishable goods,10 wheeler Reefer Truck,11006
Goats,1958,livestock,Medium Livestock Truck,2533
Goats,10077,livestock,10 wheeler Livestock Truck,10724
Chickens,7968,livestock,10 wheeler Livestock Truck,9612
Meat,6213,perishable goods,Large Refrigerated Truck,7782
Rice,3368,crops,Large Pickup Truck,4952
Fruits,6673,crops,Dropside Truck,7549
Pigs,5051,livestock,Large Livestock Truck,5869
Chickens,4428,livestock,Large Livestock Truck,5268
Milk,2636,perishable goods,Small Refrigerated Truck,3448
Rice,9454,crops,10 Wheeler Cargo Truck,10288
Frozen Fish,853,perishable goods,Medium Refrigerated Van,2699
Eggs,7521,perishable goods,Large Refrigerated Truck,9043
Fresh Vegetables,1987,perishable goods,Small Refrigerated Truck,3351
Leafy Greens,6146,perishable goods,Large Refrigerated Truck,7629
Vegetables,6368,crops,Dropside Truck,7124
Milk,2575,perishable goods,Small Refrigerated Truck,3474
Vegetables,14388,crops,10 Wheeler Dump Truck,16008
Corn,9501,crops,10 Wheeler Cargo Truck,10078
Fruits,8630,crops,10 Wheeler Cargo Truck,9993
Chickens,2274,livestock,Medium Livestock Truck,4147
Fruits,8958,crops,10 Wheeler Cargo Truck,9437
Corn,8347,crops,Dropside Truck,10132
Vegetables,13928,crops,10 Wheeler Dump Truck,14711
Leafy Greens,8721,perishable goods,Large Refrigerated Truck,9806
Goats,7892,livestock,10 wheeler Livestock Truck,8342
Rice,12933,crops,10 Wheeler Dump Truck,13742
Pigs,4930,livestock,Large Livestock Truck,6590
Rice,1369,crops,Large Delivery Van,2856
Milk,9600,perishable goods,10 wheeler Reefer Truck,10243
Fruits,14017,crops,10 Wheeler Dump Truck,14205
Frozen Fish,11317,perishable goods,10 wheeler Reefer Truck,11916
Fruits,5263,crops,Dropside Truck,5725
Leafy Greens,11787,perishable goods,10 wheeler Reefer Truck,11925
Frozen Fish,11717,perishable goods,10 wheeler Reefer Truck,11879
Goats,11203,livestock,10 wheeler Livestock Truck,11856
Pigs,11763,livestock,10 wheeler Livestock Truck,13554
Cows,7102,livestock,10 wheeler Livestock Truck,7428
Fruits,11466,crops,10 Wheeler Dump Truck,12828
Eggs,5367,perishable goods,Large Refrigerated Truck,6049
Goats,1583,livestock,Medium Livestock Truck,1756
Milk,5396,perishable goods,Large Refrigerated Truck,6114
Eggs,3213,perishable goods,Medium Refrigerated Truck,4787
Chickens,9744,livestock,10 wheeler Livestock Truck,10135
Frozen Fish,1048,perishable goods,Medium Refrigerated Van,2292
Milk,8712,perishable goods,Large Refrigerated Truck,8930
Goats,7273,livestock,10 wheeler Livestock Truck,9187
Meat,9883,perishable goods,10 wheeler Reefer Truck,10170
Vegetables,14804,crops,10 Wheeler Dump Truck,16388
Goats,10422,livestock,10 wheeler Livestock Truck,10887
Goats,2291,livestock,Medium Livestock Truck,2438
Corn,12042,crops,10 Wheeler Dump Truck,13801
Rice,13454,crops,10 Wheeler Dump Truck,14391
Leafy Greens,170,perishable goods,Small Refrigerated Van,1996
Fresh Vegetables,6852,perishable goods,Large Refrigerated Truck,8512
Frozen Fish,825,perishable goods,Medium Refrigerated Van,1219
Chickens,1331,livestock,Small Livestock Truck,1876
Cows,107,livestock,Small Livestock Truck,1154
Chickens,2379,livestock,Medium Livestock Truck,4082
Milk,3462,perishable goods,Medium Refrigerated Truck,5448
Eggs,2134,perishable goods,Small Refrigerated Truck,2847
Eggs,6128,perishable goods,Large Refrigerated Truck,7649
Corn,248,crops,Tricycle,1433
Eggs,7791,perishable goods,Large Refrigerated Truck,9277
Frozen Fish,8733,perishable goods,Large Refrigerated Truck,10528
Leafy Greens,6100,perishable goods,Large Refrigerated Truck,6803
Leafy Greens,10521,perishable goods,10 wheeler Reefer Truck,10823
Leafy Greens,10569,perishable goods,10 wheeler Reefer Truck,10968
Fresh Vegetables,5611,perishable goods,Large Refrigerated Truck,6402
Leafy Greens,8951,perishable goods,Large Refrigerated Truck,9816
Chickens,6234,livestock,Large Livestock Truck,7495
Leafy Greens,3104,perishable goods,Medium Refrigerated Truck,3243
Rice,6304,crops,Dropside Truck,8272
Fruits,10753,crops,10 Wheeler Cargo Truck,11144
Milk,1695,perishable goods,Small Refrigerated Truck,3009
Goats,6211,livestock,Large Livestock Truck,7477
Goats,5063,livestock,Large Livestock Truck,5920
Leafy Greens,7198,perishable goods,Large Refrigerated Truck,9175
Chickens,9593,livestock,10 wheeler Livestock Truck,9794
Corn,3706,crops,Heavy Duty Pickup Truck,5032
Eggs,1552,perishable goods,Small Refrigerated Truck,2159
Leafy Greens,8130,perishable goods,Large Refrigerated Truck,10064
Eggs,9879,perishable goods,10 wheeler Reefer Truck,10540
Chickens,2716,livestock,Medium Livestock Truck,4646
Goats,2247,livestock,Medium Livestock Truck,2666
Corn,10689,crops,10 Wheeler Cargo Truck,11762
Cows,9506,livestock,10 wheeler Livestock Truck,11010
Eggs,4665,perishable goods,Medium Refrigerated Truck,5785
Corn,14431,crops,10 Wheeler Dump Truck,15807
Chickens,9548,livestock,10 wheeler Livestock Truck,11065
Fruits,1500,crops,Elf Truck,2720
Leafy Greens,3294,perishable goods,Medium Refrigerated Truck,4007
Goats,2838,livestock,Medium Livestock Truck,3951
Eggs,6768,perishable goods,Large Refrigerated Truck,8469
Rice,13683,crops,10 Wheeler Dump Truck,14321
Goats,7557,livestock,10 wheeler Livestock Truck,9338
Pigs,11643,livestock,10 wheeler Livestock Truck,12848
Corn,2302,crops,Large Pickup Truck,3452
Fruits,9779,crops,10 Wheeler Cargo Truck,10509
Fruits,1678,crops,Elf Truck,2813
Pigs,9438,livestock,10 wheeler Livestock Truck,10041
Rice,14812,crops,10 Wheeler Dump Truck,15255
Rice,2504,crops,Elf Truck,3792
Goats,6407,livestock,Large Livestock Truck,8284
Leafy Greens,4528,perishable goods,Medium Refrigerated Truck,6175
Cows,5481,livestock,Large Livestock Truck,6612
Vegetables,9193,crops,10 Wheeler Cargo Truck,10153
Chickens,11260,livestock,10 wheeler Livestock Truck,12051
Pigs,1308,livestock,Small Livestock Truck,2242
Leafy Greens,9535,perishable goods,10 wheeler Reefer Truck,9690
Chickens,3786,livestock,Large Livestock Truck,4309
Frozen Fish,5389,perishable goods,Large Refrigerated Truck,5650
Rice,13134,crops,10 Wheeler Dump Truck,13392
Frozen Fish,4905,perishable goods,Medium Refrigerated Truck,5393
Vegetables,3686,crops,Heavy Duty Pickup Truck,5006
Goats,7649,livestock,10 wheeler Livestock Truck,7766
Vegetables,10501,crops,10 Wheeler Cargo Truck,10633
Rice,6648,crops,Dropside Truck,7323
Goats,9937,livestock,10 wheeler Livestock Truck,11797
Chickens,9109,livestock,10 wheeler Livestock Truck,10831
Leafy Greens,2636,perishable goods,Small Refrigerated Truck,4539
Frozen Fish,5516,perishable goods,Large Refrigerated Truck,6657
Cows,9096,livestock,10 wheeler Livestock Truck,10479
Rice,11568,crops,10 Wheeler Cargo Truck,12887
Rice,7210,crops,Dropside Truck,9037
Eggs,8032,perishable goods,Large Refrigerated Truck,8790
Leafy Greens,56,perishable goods,Small Refrigerated Van,651
Fresh Vegetables,8572,perishable goods,Large Refrigerated Truck,9230
Goats,3470,livestock,Large Livestock Truck,5094
Fruits,3508,crops,Heavy Duty Pickup Truck,3617
Pigs,831,livestock,Small Livestock Truck,2739
Leafy Greens,11507,perishable goods,10 wheeler Reefer Truck,13029
Chickens,784,livestock,Small Livestock Truck,1327
Fruits,12657,crops,10 Wheeler Dump Truck,13852
Fresh Vegetables,11390,perishable goods,10 wheeler Reefer Truck,12580
Pigs,4051,livestock,Large Livestock Truck,5118
Fresh Vegetables,5483,perishable goods,Large Refrigerated Truck,6074
Frozen Fish,2004,perishable goods,Small Refrigerated Truck,3142
Pigs,6687,livestock,Large Livestock Truck,7973
Vegetables,109,crops,Tricycle,732
Milk,645,perishable goods,Small Refrigerated Van,2359
Vegetables,11961,crops,10 Wheeler Cargo Truck,12409
Frozen Fish,9335,perishable goods,10 wheeler Reefer Truck,9951
Goats,8962,livestock,10 wheeler Livestock Truck,10242
Meat,3571,perishable goods,Medium Refrigerated Truck,5337
Corn,10477,crops,10 Wheeler Cargo Truck,11521
Frozen Fish,8713,perishable goods,Large Refrigerated Truck,9613
Leafy Greens,11807,perishable goods,10 wheeler Reefer Truck,13576
Cows,304,livestock,Small Livestock Truck,1934
Goats,9590,livestock,10 wheeler Livestock Truck,9961
Rice,13322,crops,10 Wheeler Dump Truck,14079
Fruits,3177,crops,Elf Truck,4885
Frozen Fish,5309,perishable goods,Large Refrigerated Truck,6317
Eggs,9507,perishable goods,10 wheeler Reefer Truck,10025
Goats,4850,livestock,Large Livestock Truck,5792
Vegetables,11588,crops,10 Wheeler Dump Truck,13146
Frozen Fish,2653,perishable goods,Small Refrigerated Truck,3834
Fruits,8286,crops,10 Wheeler Cargo Truck,9695
Milk,2746,perishable goods,Small Refrigerated Truck,4396
Goats,6901,livestock,Large Livestock Truck,8013
Eggs,8405,perishable goods,Large Refrigerated Truck,9478
Goats,7576,livestock,10 wheeler Livestock Truck,9104
Pigs,8951,livestock,10 wheeler Livestock Truck,10053
Chickens,7546,livestock,10 wheeler Livestock Truck,8625
Corn,4240,crops,Heavy Duty Pickup Truck,5330
Rice,2282,crops,Large Pickup Truck,2519
Fruits,1741,crops,Elf Truck,1849
Milk,7982,perishable goods,Large Refrigerated Truck,8715
Eggs,2447,perishable goods,Small Refrigerated Truck,3604
Meat,3338,perishable goods,Medium Refrigerated Truck,5190
Milk,4729,perishable goods,Medium Refrigerated Truck,5608
Pigs,9771,livestock,10 wheeler Livestock Truck,10359
Goats,11741,livestock,10 wheeler Livestock Truck,12022
Corn,14888,crops,10 Wheeler Dump Truck,16655
Milk,1358,perishable goods,Large Refrigerated Van,1679
Milk,3097,perishable goods,Medium Refrigerated Truck,4920
Fruits,7717,crops,Dropside Truck,8224
Eggs,97,perishable goods,Small Refrigerated Van,713
Corn,334,crops,Tricycle,1026
Eggs,9757,perishable goods,10 wheeler Reefer Truck,11729
Vegetables,3075,crops,Large Pickup Truck,3713
Frozen Fish,9080,perishable goods,10 wheeler Reefer Truck,10075
Cows,7613,livestock,10 wheeler Livestock Truck,8494
Pigs,542,livestock,Small Livestock Truck,1935
Vegetables,5533,crops,Dropside Truck,5804
Corn,9863,crops,10 Wheeler Cargo Truck,10557
Meat,6963,perishable goods,Large Refrigerated Truck,7870
Rice,13877,crops,10 Wheeler Dump Truck,15253
Fresh Vegetables,406,perishable goods,Small Refrigerated Van,672
Leafy Greens,211,perishable goods,Small Refrigerated Van,1737
Fresh Vegetables,8188,perishable goods,Large Refrigerated Truck,8343
Corn,7550,crops,Dropside Truck,9387
Fresh Vegetables,6796,perishable goods,Large Refrigerated Truck,7338
Leafy Greens,8155,perishable goods,Large Refrigerated Truck,8410
Fruits,3257,crops,Elf Truck,3763
Goats,9419,livestock,10 wheeler Livestock Truck,10845
Leafy Greens,1447,perishable goods,Large Refrigerated Van,2527
Chickens,3780,livestock,Large Livestock Truck,4656
Meat,5233,perishable goods,Large Refrigerated Truck,5793
Goats,8406,livestock,10 wheeler Livestock Truck,8601
Cows,6083,livestock,Large Livestock Truck,6438
Meat,929,perishable goods,Medium Refrigerated Van,2598
Corn,12928,crops,10 Wheeler Dump Truck,14133
Pigs,6514,livestock,Large Livestock Truck,8227
Eggs,1309,perishable goods,Large Refrigerated Van,2990
Leafy Greens,4752,perishable goods,Medium Refrigerated Truck,6346
Fresh Vegetables,8521,perishable goods,Large Refrigerated Truck,10221
Leafy Greens,11229,perishable goods,10 wheeler Reefer Truck,13156
Leafy Greens,10763,perishable goods,10 wheeler Reefer Truck,12551
Cows,6440,livestock,Large Livestock Truck,8435
Eggs,4208,perishable goods,Medium Refrigerated Truck,5096
Rice,3988,crops,Heavy Duty Pickup Truck,4145
Chickens,315,livestock,Small Livestock Truck,1067
Leafy Greens,1887,perishable goods,Small Refrigerated Truck,2571
Fresh Vegetables,10418,perishable goods,10 wheeler Reefer Truck,11033
Fruits,8398,crops,10 Wheeler Cargo Truck,10197
Cows,10899,livestock,10 wheeler Livestock Truck,12129
Fruits,3232,crops,Elf Truck,4603
Chickens,7284,livestock,10 wheeler Livestock Truck,8522
Meat,7864,perishable goods,Large Refrigerated Truck,8701
Eggs,2748,perishable goods,Small Refrigerated Truck,2920
Fruits,6006,crops,Dropside Truck,7177
Chickens,856,livestock,Small Livestock Truck,1004
Fresh Vegetables,11876,perishable goods,10 wheeler Reefer Truck,13537
Cows,2639,livestock,Medium Livestock Truck,3046
Chickens,11085,livestock,10 wheeler Livestock Truck,11973
Leafy Greens,4856,perishable goods,Medium Refrigerated Truck,5218
Leafy Greens,9408,perishable goods,10 wheeler Reefer Truck,10062
Corn,9008,crops,10 Wheeler Cargo Truck,10400
Milk,3700,perishable goods,Medium Refrigerated Truck,4981
Eggs,7513,perishable goods,Large Refrigerated Truck,9481
Goats,8053,livestock,10 wheeler Livestock Truck,8543
Frozen Fish,11601,perishable goods,10 wheeler Reefer Truck,11870
Fresh Vegetables,2337,perishable goods,Small Refrigerated Truck,2791
Pigs,4872,livestock,Large Livestock Truck,5043
Cows,10455,livestock,10 wheeler Livestock Truck,11434
Milk,10637,perishable goods,10 wheeler Reefer Truck,11692
Frozen Fish,2456,perishable goods,Small Refrigerated Truck,3205
Goats,4420,livestock,Large Livestock Truck,4619
Cows,8475,livestock,10 wheeler Livestock Truck,10377
Chickens,9108,livestock,10 wheeler Livestock Truck,9806
Leafy Greens,7651,perishable goods,Large Refrigerated Truck,8207
Fruits,1566,crops,Large Delivery Van,2440
Chickens,9477,livestock,10 wheeler Livestock Truck,11132
Goats,4640,livestock,Large Livestock Truck,6287
Meat,3484,perishable goods,Medium Refrigerated Truck,3764
Frozen Fish,7027,perishable goods,Large Refrigerated Truck,8151
Rice,12563,crops,10 Wheeler Dump Truck,14112
Rice,4432,crops,Dropside Truck,5520
Pigs,2146,livestock,Medium Livestock Truck,3092
Fresh Vegetables,997,perishable goods,Medium Refrigerated Van,1420
Milk,4952,perishable goods,Medium Refrigerated Truck,5283
Goats,7970,livestock,10 wheeler Livestock Truck,9218
Fresh Vegetables,6124,perishable goods,Large Refrigerated Truck,6359
Eggs,7472,perishable goods,Large Refrigerated Truck,7919
Frozen Fish,10298,perishable goods,10 wheeler Reefer Truck,11233
Eggs,4958,perishable goods,Medium Refrigerated Truck,5223
Pigs,110,livestock,Small Livestock Truck,1077
